author,experience_days,number_of_fact_checks,unique_claim_percentage,fc_frequency_mean,fc_frequency_std,pairwise_diff_mean,pairwise_diff_std,number_of_organisations,word_count_mean,word_count_std
Adeng Mayik,1737,31,1.0,57.56666666666667,228.58299380634438,532.8301075268818,591.5397614836364,1,412.19354838709677,172.54881808826138
Adewale Maja-Pearce,257,3,0.3333333333333333,128.5,26.16295090390226,171.33333333333334,62.43040569750893,1,1453.0,578.1937391566947
Adi Eyal,293,2,0.5,293.0,,293.0,0.0,1,1099.5,424.9711754931151
Aditi Gangal,1109,456,0.8281938325991189,2.046153846153846,13.725120123306267,284.68169462116833,203.64855954152017,1,486.39473684210526,184.664500936981
Aditi Parida,191,16,0.9375,12.2,41.77182919487384,30.908333333333335,56.717133777094986,1,484.75,158.7578869431899
Aditi Sharma,263,25,0.84,10.583333333333334,10.778064142816495,101.83,70.09161457216786,1,422.8,124.76377679438852
Adrian Parungao,0,2,1.0,0.0,,0.0,0.0,1,344.0,91.92388155425118
Adrianne Dering,0,1,1.0,,,,,1,511.0,
Adrianne Uphold,60,4,0.75,20.0,20.663978319771825,37.166666666666664,21.333984365066193,1,474.0,44.68407620916726
Afzal Ashraf,3,2,1.0,3.0,,3.0,0.0,1,234.5,58.68986283848344
Aglaé Watrin,0,1,1.0,,,,,1,459.0,
Agustin Bagnasco,54,3,0.6666666666666666,27.0,1.4142135623730951,36.0,12.754084313139327,1,443.3333333333333,50.56019514730272
Ahjané Forbes,0,1,1.0,,,,,1,1331.0,
Ahmed Elbenni,10,2,1.0,10.0,,10.0,0.0,1,1302.0,120.20815280171308
Aidan Cornue,0,1,1.0,,,,,1,953.0,
Aidan Quigley,0,1,1.0,,,,,1,816.0,
Aisha Ali,161,7,1.0,26.333333333333332,9.912954487269003,74.19047619047619,42.874811172838726,1,551.7142857142857,126.75529480816475
Aishwarya Dakhore,143,21,0.7619047619047619,6.75,10.44723584696475,49.41904761904762,38.5905937101581,1,386.0952380952381,82.17232183765088
Aishwarya Varma,1337,739,0.9296346414073072,1.3143631436314362,2.040654559725108,436.7833151809191,309.6350498999255,1,513.342354533153,197.80931109522194
Aiswarya Sriram,193,50,0.92,3.4285714285714284,6.2882164933044935,52.77224489795918,42.4279024124891,1,320.06,64.11195883223445
Aja Fatou Drammeh,75,3,1.0,37.0,2.8284271247461903,49.666666666666664,17.987650084309387,1,609.3333333333334,114.0233894134591
Ajmal,367,25,0.64,14.875,18.615824264412208,115.27333333333333,89.0829872771576,1,373.28,69.78509869592504
Akhil Reddy,2112,723,0.8642659279778393,2.4806094182825484,13.612745339905564,451.8423504710674,360.81485039931783,1,279.77455048409405,351.33758310428976
Akhilesh Nagari,86,4,0.75,28.333333333333332,17.21433511156714,49.833333333333336,25.745010304048346,1,353.5,35.237290853109954
Akriti Anand,1028,85,0.8705882352941177,11.773809523809524,20.43051768268633,254.8299719887955,190.48544927262307,1,453.2,135.2097840922975
Akshay Kumar Appani,371,241,0.7966804979253111,1.0583333333333333,1.7610183119770646,109.58229598893499,79.5327807481855,1,451.8215767634855,159.84932133888913
Akshita Kumari,42,10,0.7,4.222222222222222,2.488864087178013,17.355555555555554,11.171701463082824,1,443.3,83.9153674179461
Al Bernardi,21,3,0.3333333333333333,10.5,14.849242404917497,14.0,9.899494936611665,1,618.0,297.2894212715952
Alan Gathright,275,30,0.9,9.482758620689655,5.415722413592091,101.01149425287356,69.36644229134153,1,1045.3666666666666,331.84504935528145
Alan Hovorka,1876,15,1.0,134.0,385.0042956803309,919.9047619047619,780.1098765565872,1,724.2666666666667,204.91164181759163
Alan Jaffe,656,48,0.7083333333333334,13.46808510638298,32.877143549776335,147.9654255319149,117.93125796846482,1,1593.7083333333333,1635.2340447794234
Alao Abiodun,0,1,1.0,,,,,1,564.0,
Alberto Gomez,0,1,1.0,,,,,1,203.0,
Alec Dent,1008,359,0.9526462395543176,2.3798882681564244,3.527536811128635,317.75392539798634,238.03316984738427,1,441.1922005571031,314.60428162568144
Aleissa Bleyl,0,1,1.0,,,,,1,731.0,
Aleksandra Wrona,601,263,0.9581749049429658,1.8206106870229009,2.2493666220394397,195.8589672887702,138.93328680107635,1,394.6653992395437,176.41431277653277
Aleksandre Buzaladze,0,1,1.0,,,,,1,391.0,
Alex Cadier,1413,24,1.0,61.04347826086956,229.57499829445112,211.22101449275362,332.79429341907917,1,677.3333333333334,348.23825760242227
